dataset,mAA,processing_time
church,16.666666666666664,4.219875335693359
lizard,71.01449275362319,20.940865516662598
dioscuri,50.24875621890548,41.10670018196106
pond,28.49462365591398,17.057755708694458
multi-temporal-temple-baalshamin,51.075268817204304,42.63957405090332
Global,43.49996162246272,125.96517324447632
