dataset,mAA,processing_time
lizard,71.01449275362319,20.95361328125
multi-temporal-temple-baalshamin,47.58064516129033,42.20438504219055
pond,27.688172043010752,17.24539089202881
dioscuri,50.74626865671642,42.191547870635986
church,17.982456140350877,4.283672094345093
Global,43.00240695099831,126.87895345687866
