dataset,mAA,processing_time
pond,28.49462365591398,17.333999156951904
church,17.543859649122805,4.271174907684326
lizard,69.56521739130434,20.28624701499939
multi-temporal-temple-baalshamin,48.38709677419355,42.125625133514404
dioscuri,50.49751243781094,42.3995897769928
Global,42.897661981669124,126.416983127594
